OpenJ9,,,,,,Elastic,,,,,,Average,,,,,
GPT,,,,,,GPT,,,,,,GPT,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,
T1.1,50.0%,28.6%,33.3%,34.0%,,T1.1,41.7%,34.3%,33.3%,35.8%,,T1.1,45.8%,31.4%,33.3%,34.9%,
T1.2,33.3%,0.0%,0.0%,10.0%,,T1.2,66.7%,20.0%,0.0%,30.0%,,T1.2,50.0%,10.0%,0.0%,20.0%,
T2,75.0%,25.0%,50.0%,50.0%,,T2,50.0%,0.0%,0.0%,20.0%,,T2,62.5%,12.5%,25.0%,35.0%,
T3,0.0%,50.0%,62.5%,60.0%,,T3,0.0%,50.0%,50.0%,50.0%,,T3,0.0%,50.0%,56.3%,55.0%,
T4,33.3%,20.0%,100.0%,40.0%,,T4,66.7%,40.0%,50.0%,50.0%,,T4,50.0%,30.0%,75.0%,45.0%,
T5,33.3%,16.7%,0.0%,20.0%,,T5,66.7%,33.3%,0.0%,40.0%,,T5,50.0%,25.0%,0.0%,30.0%,
Total,48.0%,24.6%,47.6%,35.0%,,Total,52.0%,31.6%,33.3%,36.9%,,Total,50.0%,28.1%,40.5%,35.9%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CFG,,,,,,CFG,,,,,,CFG,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,Imprv
T1.1,41.7%,54.3%,16.7%,47.2%,,T1.1,58.3%,40.0%,66.7%,47.2%,,T1.1,50.0%,47.1%,41.7%,47.2%,12.3%
T1.2,66.7%,0.0%,0.0%,20.0%,,T1.2,100.0%,40.0%,0.0%,50.0%,,T1.2,83.3%,20.0%,0.0%,35.0%,15.0%
T2,75.0%,25.0%,50.0%,50.0%,,T2,50.0%,25.0%,0.0%,30.0%,,T2,62.5%,25.0%,25.0%,40.0%,5.0%
T3,0.0%,50.0%,62.5%,60.0%,,T3,0.0%,50.0%,62.5%,60.0%,,T3,0.0%,50.0%,62.5%,60.0%,5.0%
T4,33.3%,40.0%,50.0%,40.0%,,T4,66.7%,0.0%,100.0%,40.0%,,T4,50.0%,20.0%,75.0%,40.0%,-5.0%
T5,33.3%,16.7%,0.0%,20.0%,,T5,100.0%,33.3%,0.0%,50.0%,,T5,66.7%,25.0%,0.0%,35.0%,5.0%
Total,48.0%,42.1%,38.1%,42.7%,,Total,68.0%,35.1%,52.4%,46.6%,,Total,58.0%,38.6%,45.2%,44.7%,8.7%
,,,,,,,,,,,,,8.0%,10.5%,4.8%,8.7%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Query,,,,,Query,,,,,,Query,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,Imprv
T1.1,58.3%,31.4%,16.7%,35.8%,,T1.1,58.3%,34.3%,66.7%,43.4%,,T1.1,58.3%,32.9%,41.7%,39.6%,4.7%
T1.2,66.7%,20.0%,0.0%,30.0%,,T1.2,100.0%,40.0%,50.0%,60.0%,,T1.2,83.3%,30.0%,25.0%,45.0%,25.0%
T2,75.0%,25.0%,50.0%,50.0%,,T2,25.0%,75.0%,0.0%,40.0%,,T2,50.0%,50.0%,25.0%,45.0%,10.0%
T3,0.0%,50.0%,50.0%,50.0%,,T3,0.0%,50.0%,37.5%,40.0%,,T3,0.0%,50.0%,43.8%,45.0%,-10.0%
T4,66.7%,20.0%,100.0%,50.0%,,T4,66.7%,0.0%,100.0%,40.0%,,T4,66.7%,10.0%,100.0%,45.0%,0.0%
T5,66.7%,33.3%,0.0%,40.0%,,T5,33.3%,66.7%,0.0%,50.0%,,T5,50.0%,50.0%,0.0%,45.0%,15.0%
Total,64.0%,29.8%,38.1%,39.8%,,Total,56.0%,38.6%,47.6%,44.7%,,Total,60.0%,34.2%,42.9%,42.2%,6.3%
,,,,,,,,,,,,,10.0%,6.1%,2.4%,6.3%,6.3%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cove,,,,,,Cove,,,,,,Cove,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,Imprv
T1.1,50.0%,31.4%,33.3%,35.8%,,T1.1,50.0%,25.7%,50.0%,34.0%,,T1.1,50.0%,28.6%,41.7%,34.9%,0.0%
T1.2,33.3%,0.0%,0.0%,10.0%,,T1.2,33.3%,40.0%,0.0%,30.0%,,T1.2,33.3%,20.0%,0.0%,20.0%,0.0%
T2,100.0%,25.0%,0.0%,50.0%,,T2,25.0%,0.0%,0.0%,10.0%,,T2,62.5%,12.5%,0.0%,30.0%,-5.0%
T3,0.0%,50.0%,62.5%,60.0%,,T3,0.0%,50.0%,50.0%,50.0%,,T3,0.0%,50.0%,56.3%,55.0%,0.0%
T4,66.7%,40.0%,100.0%,60.0%,,T4,66.7%,0.0%,100.0%,40.0%,,T4,66.7%,20.0%,100.0%,50.0%,5.0%
T5,100.0%,33.3%,0.0%,50.0%,,T5,100.0%,50.0%,0.0%,60.0%,,T5,100.0%,41.7%,0.0%,55.0%,25.0%
Total,64.0%,29.8%,42.9%,40.8%,,Total,52.0%,26.3%,42.9%,35.9%,,Total,58.0%,28.1%,42.9%,38.3%,2.4%
,,,,,,,,,,,,,8.0%,0.0%,2.4%,2.4%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MT,,,,,,MT,,,,,,MT,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,Imprv
T1.1,83.3%,34.3%,50.0%,47.2%,,T1.1,58.3%,48.6%,66.7%,52.8%,,T1.1,70.8%,41.4%,58.3%,50.0%,15.1%
T1.2,33.3%,0.0%,0.0%,10.0%,,T1.2,100.0%,40.0%,0.0%,50.0%,,T1.2,66.7%,20.0%,0.0%,30.0%,10.0%
T2,75.0%,25.0%,50.0%,50.0%,,T2,50.0%,0.0%,0.0%,20.0%,,T2,62.5%,12.5%,25.0%,35.0%,0.0%
T3,0.0%,50.0%,62.5%,60.0%,,T3,0.0%,50.0%,50.0%,80.0%,,T3,0.0%,50.0%,56.3%,70.0%,15.0%
T4,66.7%,20.0%,50.0%,40.0%,,T4,66.7%,40.0%,50.0%,50.0%,,T4,66.7%,30.0%,50.0%,45.0%,0.0%
T5,100.0%,16.7%,0.0%,40.0%,,T5,100.0%,33.3%,0.0%,50.0%,,T5,100.0%,25.0%,0.0%,45.0%,15.0%
Total,76.0%,28.1%,47.6%,43.7%,,Total,80.0%,42.1%,42.9%,51.5%,,Total,78.0%,35.1%,45.2%,47.6%,11.7%
,,,,,,,,,,,,,28.0%,7.0%,4.8%,11.7%,
,,,,,,,,,,,,,,,,,
Response Validator,,,,,,Response Validator,,,,,,Response Validator,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,Imprv
T1.1,50.0%,37.1%,50.0%,41.5%,,T1.1,50.0%,40.0%,50.0%,43.4%,,T1 - Issue Anlys(S),50.0%,38.6%,50.0%,42.5%,7.5%
T1.2,66.7%,0.0%,0.0%,20.0%,,T1.2,66.7%,0.0%,0.0%,20.0%,,T1 - Issue Anlys(M),66.7%,0.0%,0.0%,20.0%,0.0%
T2,100.0%,25.0%,50.0%,60.0%,,T2,75.0%,50.0%,0.0%,50.0%,,T2 - Issue Trend,87.5%,37.5%,25.0%,55.0%,20.0%
T3,0.0%,50.0%,75.0%,70.0%,,T3,0.0%,50.0%,37.5%,40.0%,,T3 - Issue Summary,0.0%,50.0%,56.3%,55.0%,0.0%
T4,33.3%,40.0%,50.0%,40.0%,,T4,66.7%,20.0%,50.0%,40.0%,,T4 - Issue Labeling,50.0%,30.0%,50.0%,40.0%,-5.0%
T5,33.3%,50.0%,0.0%,40.0%,,T5,100.0%,50.0%,0.0%,60.0%,,T5 - Issue Backlog,66.7%,50.0%,0.0%,50.0%,20.0%
Total,56.0%,35.1%,52.4%,43.7%,,Total,64.0%,36.8%,33.3%,42.7%,,Total,60.0%,36.0%,42.9%,43.2%,7.3%
,,,,,,,,,,,,,10.0%,7.9%,2.4%,7.3%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CIMBUR,,,,,,CIMBUR,,,,,,CIMBUR,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,Imprv
T1.1,83.3%,65.7%,66.7%,69.8%,,T1.1,83.3%,65.7%,66.7%,69.8%,,T1.1,83.3%,65.7%,66.7%,69.8%,34.9%
T1.2,66.7%,20.0%,0.0%,30.0%,,T1.2,100.0%,40.0%,50.0%,60.0%,,T1.2,83.3%,30.0%,25.0%,45.0%,25.0%
T2,75.0%,50.0%,50.0%,60.0%,,T2,50.0%,50.0%,0.0%,40.0%,,T2,62.5%,50.0%,25.0%,50.0%,15.0%
T3,0.0%,50.0%,75.0%,70.0%,,T3,0.0%,100.0%,75.0%,80.0%,,T3,0.0%,75.0%,75.0%,75.0%,20.0%
T4,66.7%,60.0%,100.0%,70.0%,,T4,66.7%,60.0%,100.0%,70.0%,,T4,66.7%,60.0%,100.0%,70.0%,25.0%
T5,100.0%,66.7%,0.0%,70.0%,,T5,100.0%,66.7%,100.0%,80.0%,,T5,100.0%,66.7%,50.0%,75.0%,45.0%
Total,80.0%,59.6%,61.9%,65.0%,,Total,80.0%,63.2%,66.7%,68.0%,,Total,80.0%,61.4%,64.3%,66.5%,30.6%
,,,,,,,,,,,,,30.0%,33.3%,23.8%,30.6%,
